	1\nnew_experiment\n	2\nnew_experiment\n	3\nnew_experiment\n	4\nnew_experiment\n	5\nnew_experiment\n	6\nnew_experiment\n	7\nnew_experiment\n	8\nnew_experiment\n	9\nnew_experiment\n	10\nnew_experiment\n	11\nnew_experiment\n	12\nnew_experiment\n	13\nnew_experiment\n	14\nnew_experiment\n	15\nnew_experiment\n	16\nnew_experiment\n	17\nnew_experiment\n	18\nnew_experiment\n	19\nnew_experiment\n	20\nnew_experiment\n	
1.47288	0.422392	0.335021	0.151675	0.143948	0.0453453	0.0351372	0.0266854	0.0296631	0.00364685	0.0808114	0.17072	0.244467	0.474301	0.428253	0.172044	0.119888	0.0913887	0.25025	0.430521	0.269636	
1.47312	0.429412	0.335856	0.155448	0.138254	0.0429649	0.0316162	0.0204718	0.0213318	0.0154419	0.086872	0.178054	0.241756	0.476378	0.455917	0.166678	0.120507	0.0896873	0.272066	0.479935	0.293072	
1.47337	0.436431	0.336679	0.164388	0.134677	0.0404739	0.0315781	0.0164366	0.018692	0.0200653	0.0878841	0.177257	0.231994	0.457957	0.462105	0.159988	0.118099	0.0922737	0.290457	0.518158	0.313334	
1.47361	0.443451	0.337514	0.173327	0.131114	0.0379944	0.0315399	0.0124133	0.0207367	0.0246887	0.0888962	0.167191	0.212989	0.424443	0.446739	0.15331	0.115691	0.0948601	0.294424	0.536504	0.325173	
1.47385	0.45047	0.338337	0.175693	0.127537	0.0354996	0.0315018	0.00838989	0.0201569	0.0197144	0.089432	0.152473	0.189356	0.385548	0.416916	0.14662	0.117686	0.106396	0.290908	0.537103	0.32436	
1.4741	0.457502	0.339172	0.17329	0.123974	0.03302	0.0314751	0.00436658	0.019577	0.0147552	0.0899797	0.137767	0.165723	0.342122	0.377869	0.139941	0.119681	0.117947	0.278749	0.523515	0.309491	
1.47434	0.469031	0.342264	0.169567	0.118457	0.0336342	0.0376205	0.000200391	0.0202789	0.00920105	0.0918133	0.121648	0.148369	0.301729	0.332657	0.140352	0.127215	0.127884	0.263604	0.50345	0.289536	
1.47458	0.480573	0.345355	0.165844	0.112953	0.0342598	0.0437813	-0.00396574	0.0210114	0.00366211	0.0936589	0.10554	0.131015	0.261347	0.287453	0.140762	0.134748	0.137825	0.244131	0.483385	0.269581	
1.47483	0.492115	0.348446	0.161823	0.107436	0.034874	0.0499306	-0.00813192	0.0220337	-0.00187683	0.08636	0.0934807	0.113661	0.230299	0.250908	0.141172	0.133475	0.143009	0.226552	0.458173	0.248748	
1.47507	0.503657	0.35155	0.157814	0.101932	0.0354996	0.0560913	-0.0122862	0.0230408	-0.00741577	0.0790611	0.0907136	0.096319	0.199264	0.214355	0.141582	0.132202	0.140736	0.208972	0.432973	0.227926	
1.47531	0.519275	0.354642	0.157179	0.0909364	0.0385666	0.0646973	-0.014167	0.0292053	-0.00320435	0.0700357	0.0900611	0.0884133	0.170765	0.18763	0.141617	0.13148	0.138744	0.199236	0.411576	0.207093	
1.47556	0.534893	0.357746	0.156556	0.0799537	0.0416489	0.0733185	-0.0160477	0.0400085	0.0010376	0.0610221	0.0894206	0.0805196	0.151341	0.160904	0.141652	0.130758	0.136753	0.1895	0.39018	0.18626	
