	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	
4.0545	-0.0804697	0.128725	0.176957	0.019422	-0.103202	-0.584347	-0.0319154	-0.136009	0.00400264	0.0903075	0.090958	0.00113528	0.0161251	0.0369358	0.135022	-0.243225	0.0358473	-0.0233999	0.323665	0.0967479	
4.05474	-0.0783089	0.122085	0.176284	0.0267295	-0.107919	-0.581508	-0.0234071	-0.131166	0.00253732	0.0891663	0.0838892	-0.00694932	0.0132155	0.0416383	0.135116	-0.238781	0.0368933	-0.0276948	0.325393	0.094674	
4.05498	-0.078634	0.114571	0.173607	0.034538	-0.117758	-0.586741	-0.0121557	-0.127155	-0.0005863	0.0920526	0.0781033	-0.0165804	0.010828	0.0462662	0.13513	-0.229731	0.0363521	-0.0276858	0.321783	0.0898446	
4.05523	-0.0828385	0.107422	0.169269	0.0411456	-0.127382	-0.596088	0.000937119	-0.125255	-0.00491471	0.0966344	0.076707	-0.0242936	0.00908021	0.0490976	0.135283	-0.219993	0.0334028	-0.0254897	0.315207	0.0818198	
4.05547	-0.0887278	0.102221	0.16264	0.0444536	-0.132033	-0.605793	0.0127679	-0.12436	-0.00895031	0.0993147	0.0790405	-0.0279877	0.00766105	0.0479849	0.134462	-0.213295	0.0302775	-0.0247735	0.307993	0.0717326	
4.05571	-0.0933282	0.100491	0.155477	0.0436798	-0.132013	-0.615951	0.0180762	-0.123702	-0.0101419	0.0984994	0.0838995	-0.0261887	0.0061406	0.0428748	0.129444	-0.210605	0.0281483	-0.0257647	0.301833	0.0623248	
4.05596	-0.0943557	0.100478	0.151475	0.0405257	-0.128864	-0.62717	0.0159334	-0.122976	-0.00738414	0.0947815	0.0898205	-0.019771	0.00452184	0.0355333	0.121402	-0.210327	0.027623	-0.0241635	0.296933	0.0556768	
4.0562	-0.0903483	0.101616	0.151441	0.0371361	-0.123493	-0.63834	0.00952634	-0.121643	-0.00323016	0.0900769	0.0943098	-0.0102557	0.00259658	0.026615	0.114397	-0.20875	0.0278172	-0.0168342	0.293017	0.0510994	
4.05644	-0.0817287	0.105469	0.155059	0.033549	-0.118979	-0.648872	0.00229809	-0.119924	0.000193592	0.0870512	0.0960699	-0.000683387	0.000998919	0.0153057	0.109552	-0.204284	0.0273083	-0.00632893	0.290445	0.0479265	
4.05669	-0.0699117	0.111767	0.162656	0.0287837	-0.119107	-0.658526	-0.00354551	-0.118684	0.00350743	0.0862325	0.0952994	0.00456964	0.00151046	0.00370874	0.107032	-0.198992	0.0271057	0.00261215	0.289697	0.0468885	
4.05693	-0.0582717	0.119832	0.171132	0.0240831	-0.122203	-0.667833	-0.00700402	-0.118587	0.00784855	0.0865446	0.0946458	0.00474053	0.00399018	-0.00430567	0.107382	-0.196173	0.0292671	0.00850311	0.291252	0.0456172	
4.05717	-0.0515898	0.127288	0.174973	0.0214534	-0.125085	-0.676964	-0.00877928	-0.119968	0.0125158	0.0876182	0.0973737	0.00291319	0.00495153	-0.00756621	0.110083	-0.19734	0.0349707	0.0130781	0.294947	0.0394104	
4.05741	-0.0529899	0.130054	0.172462	0.0215564	-0.127284	-0.683335	-0.0115427	-0.120591	0.016288	0.0886162	0.100134	0.00213346	0.00237772	-0.00708592	0.114417	-0.199692	0.041553	0.0165838	0.300296	0.0298353	
4.05766	-0.0601339	0.128624	0.16631	0.0246043	-0.129045	-0.686519	-0.0159817	-0.116319	0.0190777	0.0887968	0.0987412	0.00324674	-8.7856e-05	-0.00442064	0.119833	-0.198529	0.0452605	0.0189422	0.307144	0.0217769	
4.0579	-0.0682458	0.127826	0.159908	0.0306834	-0.13127	-0.686606	-0.0194401	-0.107149	0.0212396	0.0896179	0.096801	0.00308271	0.000341833	-0.00271437	0.123782	-0.192254	0.044476	0.0203639	0.312099	0.0168409	
