	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	
4.64455	-0.0715142	-0.088591	-0.0919676	-0.0766331	-0.105023	-0.115018	-0.0915106	-0.0511342	-0.0394367	-0.0738759	-0.0774857	-0.0743466	-0.0719655	-0.0714814	-0.0756678	-0.062259	-0.0645978	-0.0503896	-0.077929	-0.0443945	
4.64479	-0.0719851	-0.088543	-0.0921859	-0.0766843	-0.104809	-0.115293	-0.0921526	-0.0511344	-0.039623	-0.0734353	-0.0768647	-0.0747924	-0.0719898	-0.0712622	-0.0760032	-0.0629848	-0.0643768	-0.0512462	-0.078189	-0.0447536	
4.64504	-0.0721832	-0.0889333	-0.0922301	-0.0767567	-0.104917	-0.115262	-0.0929322	-0.0510925	-0.0396332	-0.0731183	-0.076552	-0.0752496	-0.07201	-0.0713736	-0.0761553	-0.0638637	-0.0644025	-0.0521011	-0.0784824	-0.0455431	
4.64528	-0.0720016	-0.0895798	-0.0920694	-0.0769102	-0.105203	-0.114806	-0.0937303	-0.0510394	-0.0395178	-0.0731149	-0.0767005	-0.0755008	-0.0719245	-0.0715446	-0.0760593	-0.0643502	-0.0644683	-0.0525427	-0.0786753	-0.0464367	
4.64552	-0.0714713	-0.0900885	-0.0917406	-0.0770725	-0.105446	-0.113929	-0.0942797	-0.0510101	-0.0394605	-0.073411	-0.0771048	-0.0754076	-0.0716926	-0.0717262	-0.0756816	-0.064334	-0.0644441	-0.0527473	-0.0788096	-0.0470403	
4.64577	-0.0708117	-0.0901695	-0.091381	-0.0771343	-0.105629	-0.112856	-0.0943661	-0.0510581	-0.0395134	-0.0739118	-0.0775455	-0.0750492	-0.0714637	-0.0721616	-0.0751819	-0.0640364	-0.0644321	-0.0529952	-0.0791001	-0.0472413	
4.64601	-0.070229	-0.0899141	-0.0910096	-0.0770419	-0.105723	-0.111939	-0.0940107	-0.0511913	-0.0395624	-0.0745186	-0.0779793	-0.0746167	-0.0714667	-0.0729696	-0.0746232	-0.0636405	-0.0643213	-0.0532891	-0.0796201	-0.0471049	
4.64625	-0.0698216	-0.0896573	-0.0905473	-0.0767916	-0.105698	-0.111483	-0.0934523	-0.0513725	-0.0394341	-0.0751549	-0.0783708	-0.0742742	-0.0716808	-0.0739975	-0.0739907	-0.0633328	-0.0639454	-0.0535221	-0.0801724	-0.0468914	
4.6465	-0.069599	-0.0896184	-0.090017	-0.0764475	-0.105644	-0.111556	-0.0930347	-0.0516115	-0.0390441	-0.0757614	-0.0787488	-0.0741468	-0.071878	-0.0749884	-0.0733826	-0.0633923	-0.063544	-0.0536997	-0.0804021	-0.0468944	
4.64674	-0.0694943	-0.0896996	-0.0895884	-0.0761263	-0.105635	-0.111965	-0.0929917	-0.0519672	-0.0385319	-0.0762687	-0.0791648	-0.0742732	-0.0718035	-0.0757631	-0.0729118	-0.0639867	-0.0634911	-0.053865	-0.0801685	-0.0471316	
