	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	
1.32644	0.315425	0.144437	0.113564	0.196256	0.0925081	0.151849	0.443122	0.347638	0.148916	0.702773	0.389225	18.6964	39.3924	18.8438	0.316633	0.144015	0.0598579	0.018737	0.00954508	0.0349045	
1.32669	0.324373	0.143276	0.116914	0.181779	0.0967237	0.15009	0.470511	0.360858	0.153646	0.666551	0.381623	18.9478	39.5394	19.554	0.333418	0.151484	0.0538863	0.024172	0.0132986	0.0354736	
1.32693	0.332839	0.140363	0.121407	0.167574	0.0997558	0.146563	0.500664	0.3759	0.154716	0.626004	0.375363	18.1254	37.4604	19.2323	0.352204	0.15976	0.0475929	0.0295089	0.0182508	0.0348151	
1.32717	0.341495	0.136509	0.126388	0.156252	0.101659	0.141734	0.53657	0.392385	0.152625	0.58473	0.370471	16.3872	33.572	17.9382	0.371355	0.167749	0.0433799	0.0327878	0.0251553	0.0328296	
1.32742	0.349453	0.133622	0.12899	0.148181	0.101171	0.136546	0.580801	0.410977	0.150367	0.545766	0.367697	14.1692	28.8073	15.9692	0.390098	0.174601	0.043236	0.031958	0.031139	0.029627	
1.32766	0.355628	0.13369	0.127346	0.142772	0.0990616	0.130966	0.635887	0.436227	0.151396	0.509164	0.368667	11.9143	24.0605	13.729	0.409219	0.180505	0.046926	0.0282872	0.0342666	0.0270231	
1.3279	0.35974	0.136676	0.123595	0.140109	0.0996886	0.124947	0.706008	0.472094	0.156736	0.472064	0.37364	9.88053	19.8378	11.5579	0.430189	0.186103	0.0541909	0.0253576	0.0358071	0.0267692	
1.32815	0.362376	0.140859	0.121445	0.140019	0.106048	0.119172	0.798578	0.519757	0.164643	0.432521	0.382254	8.16009	16.3114	9.65354	0.453629	0.192571	0.0634178	0.0243518	0.0364049	0.0276552	
1.32839	0.364163	0.143998	0.121895	0.141216	0.11677	0.114549	0.922558	0.580297	0.173769	0.391986	0.39425	6.75596	13.4718	8.0861	0.480114	0.200856	0.071421	0.0237114	0.0345769	0.02754	
1.32863	0.366	0.14474	0.123322	0.142366	0.129208	0.112134	1.08573	0.654258	0.183627	0.353068	0.407412	5.63294	11.2307	6.84575	0.510923	0.210464	0.0777318	0.023295	0.0311676	0.02615	
1.32888	0.369622	0.144645	0.12433	0.142623	0.143027	0.112806	1.29377	0.741197	0.193245	0.31789	0.417423	4.74226	9.47587	5.88693	0.546471	0.220109	0.0846605	0.0252196	0.029358	0.0233666	
1.32912	0.376428	0.145075	0.125068	0.141109	0.160566	0.116189	1.55111	0.840853	0.201571	0.288776	0.420861	4.0347	8.09805	5.15535	0.586954	0.227574	0.0935366	0.0305505	0.0299712	0.0199497	
1.32936	0.387929	0.146285	0.126074	0.138522	0.182199	0.122162	1.86262	0.951032	0.208224	0.266727	0.4167	3.46734	7.0047	4.60103	0.632774	0.229691	0.103973	0.0385468	0.0312076	0.0180459	
1.32961	0.404266	0.149347	0.127666	0.138256	0.205041	0.130222	2.23057	1.06237	0.213007	0.248913	0.405345	3.0056	6.12729	4.18625	0.683322	0.224159	0.114981	0.0479292	0.0314785	0.0198458	
1.32985	0.422592	0.156032	0.129141	0.143233	0.226793	0.138788	2.64676	1.15818	0.216775	0.231439	0.387185	2.62511	5.42059	3.88512	0.739561	0.213832	0.12525	0.0557705	0.0301975	0.0263264	
1.33009	0.440199	0.166243	0.128573	0.152851	0.246866	0.146778	3.08281	1.22236	0.22103	0.214358	0.36428	2.31157	4.85468	3.67508	0.805197	0.204877	0.134016	0.0597529	0.0268092	0.0351684	
1.33034	0.456655	0.176866	0.125529	0.163969	0.264294	0.152834	3.4825	1.24531	0.224865	0.19929	0.340899	2.0553	4.40579	3.53278	0.883174	0.201177	0.140801	0.0606027	0.0219751	0.0424765	
1.33058	0.473738	0.185068	0.121932	0.173021	0.276402	0.157452	3.76908	1.22503	0.224927	0.186614	0.320428	1.84638	4.05278	3.43749	0.975396	0.203027	0.145067	0.0614017	0.0185391	0.0459995	
1.33082	0.492954	0.191185	0.119313	0.17694	0.280992	0.162527	3.87443	1.16789	0.219195	0.175669	0.304488	1.67384	3.77951	3.37513	1.08193	0.209141	0.146571	0.064356	0.0178859	0.0456156	
